"x"	"y"	"Al"	"B"	"Ca"	"Cu"	"Fe"	"K"	"Mg"	"Mn"	"P"	"Zn"	"N"	"N.min."	"pH"
"17"	350	150	1260.59808	0.68944	1314.79336	4.80024	141.08968	110.83156	269.06264	294.67304	4.1028	2.95548	18.92764	16.21112	4.46092
"18"	350	250	1280.10328	0.37996	909.32608	4.78156	191.0236	84.9496	205.35932	97.7732	4.93916	2.59364	16.59108	15.43316	4.05204
"19"	350	350	1304.17268	0.5188	1117.5724	5.7734	157.71204	130.3694	231.72528	254.28652	3.8532	2.58732	20.433	22.67264	4.24652
"20"	350	450	1125.74068	0.59432	1271.2058	6.777	165.65836	146.50684	199.93204	360.12848	2.01588	2.6746	20.99108	15.7242	4.33736
"21"	450	50	804.96204	1.17772	1947.90596	8.29748	187.652	207.58808	316.05316	443.95808	1.7592	4.25764	30.09788	15.87932	4.77492
"22"	450	150	1157.26628	0.70176	1414.60264	5.48304	171.20196	138.90496	250.98012	258.33724	4.01948	3.19204	27.83632	20.57952	4.6726
"23"	450	250	1130.7224	0.34772	1121.98404	5.29832	204.55984	111.69532	223.81848	136.71156	4.76356	3.03268	23.78884	16.47284	4.2922
"24"	450	350	1055.48404	0.76788	1740.29988	6.4956	183.49752	154.91056	306.96672	320.76696	3.026	3.44568	31.06028	14.15144	4.69712
"25"	450	450	943.2088	0.90908	1658.3516	7.0382	149.49928	190.32096	322.94476	237.85752	2.95544	4.09124	32.75832	9.87668	4.74796
"26"	550	50	644.72224	0.9788	1566.80184	6.24088	165.5448	149.67524	242.24728	334.3206	1.5106	4.92072	33.83268	19.85712	4.96144
"27"	550	150	848.15344	0.64652	1151.22992	5.1384	138.47796	131.4102	203.5124	251.53632	2.90336	4.47264	30.03868	19.38572	4.9748
"28"	550	250	638.71768	0.47056	1010.58888	3.7274	94.50952	100.97304	182.0278	101.42556	2.07696	3.8254	30.91848	12.76032	4.84068
"29"	550	350	1013.55576	0.93808	1379.61968	6.09004	143.43312	161.6444	269.93272	284.21028	4.04536	5.16404	36.89956	13.941	4.75024
"30"	550	450	841.9146	0.78008	1318.37768	5.26196	145.11908	124.2156	257.45124	209.3292	2.41024	3.87976	36.74812	11.19868	4.75976
"31"	650	50	836.80364	1.3264	1873.11988	7.301	160.57508	197.62396	259.63828	327.855	2.0094	5.57804	33.181	21.85324	5.00428
"32"	650	150	994.05956	1.26224	1836.41844	7.2544	150.13084	200.43848	305.0934	336.47924	4.90372	6.4296	28.85868	22.5326	5.15908
"33"	650	250	707.71672	0.77364	1186.61392	4.34448	117.07408	117.20788	186.69552	205.45152	3.11964	4.2454	30.78876	11.042	5.05812
"34"	650	350	1064.6256	1.17532	1656.36476	7.4552	164.64424	159.9986	286.40564	388.03692	5.21556	5.91652	36.53824	7.09476	5.05132
"35"	650	450	1230.49468	1.38336	1643.11944	7.82752	183.7992	168.62984	270.86336	400.37024	3.80704	5.39516	32.63108	17.11192	4.85808
"36"	750	50	790.15336	1.46984	2288.02808	9.328	198.4392	221.93992	375.74852	486.40336	2.91232	6.84324	41.64388	22.15292	4.93364
"37"	750	150	1119.73056	1.1756	1814.77328	8.05352	175.822	207.7472	314.90252	491.51428	3.40312	6.7404	38.92268	19.59704	4.9354
"38"	750	250	1102.96248	1.43692	2026.07276	7.96676	187.93804	221.69932	321.24588	548.331	6.19656	7.36012	39.04968	15.07688	4.88152
"39"	750	350	1164.95112	1.46856	2032.29388	7.94704	183.26968	215.24008	376.53212	553.71872	6.25144	7.05788	31.66516	26.97056	4.93488
"40"	750	450	1172.94976	1.23084	1805.04468	7.14824	189.99692	175.7906	297.12196	404.045	5.6252	7.08976	30.54752	29.00896	4.77104
"41"	850	50	797.22592	1.99308	3114.36128	12.13564	246.92548	310.86508	582.56012	550.88992	2.57328	10.78212	38.1378	31.46776	4.89252
"42"	850	150	1033.7388	1.16824	2176.3146	9.97004	223.95776	236.06648	383.70024	529.0872	1.36512	8.96552	30.39916	26.46048	4.829
"43"	850	250	1166.23588	1.17224	2154.33472	10.28108	273.3936	249.97808	328.69116	589.42424	2.18936	8.77904	32.19116	27.4774	4.82804
"44"	850	350	1053.44256	1.24832	2222.04072	9.00388	261.28372	251.34784	348.04156	525.75408	2.31204	7.831	25.223	39.27656	4.94864
"45"	850	450	872.39684	1.83836	2721.2012	8.45536	260.26808	264.50464	455.7394	513.52176	3.17768	9.39208	25.70404	38.14724	5.02364
"46"	950	50	791.11768	1.25436	3189.71996	7.04104	228.12284	256.95232	620.89352	371.13496	1.51256	12.97524	21.79476	37.09404	4.68412
"47"	950	150	853.5622	0.94416	2272.75152	7.10896	190.7156	189.502	400.37	410.18184	1.20892	10.63096	14.89032	41.35176	4.52992
"48"	950	250	787.20728	1.32144	2623.49316	10.3872	252.47976	290.58492	433.15976	516.65944	0.99936	10.9244	18.82576	42.19536	4.87296
"49"	950	350	612.2286	1.76808	2986.50232	10.95828	247.31548	306.73588	548.86048	507.57932	0.8434	11.18948	22.64272	41.89168	5.00388
"50"	950	450	569.53148	1.7374	2872.58048	8.21896	241.44388	295.57168	537.51992	367.5458	1.6646	10.58664	22.4054	38.22128	5.02052
