genus_species,FAMILY.,GENUS.,SPECIES.,Shade_LaminaTough,Shade_VeinTough,Sun_LaminaTough,Sun_VeinTough,SEED_DRY,LEAFTHCK_AVI,LEAFTHCK_AVD,abundance,sigma,omega,N1995
Astronium_graveolens,Anacardiaceae,Astronium,graveolens,393.8833333,2640.383333,485.8636364,4682.3,0.01766,86.66666667,217.2222222,76,30.45447262,7.084,77
Attalea_butyracea,Arecaceae,Attalea,butyracea,,,,,0.95504,,,33,27.46757055,,
Bactris_coloniata,Arecaceae,Bactris,coloniata,,,,,0.89562,,,8,500,0,8
Bactris_major,Arecaceae,Bactris,major,,,,,1.538495,,,176,26.94101743,86.424,176
Bactris_barronis,Arecaceae,Bactris,barronis,,,,,,,,9,500,0,9
Borojoa_panamensis,Rubiaceae,Borojoa,panamensis,652.9,2995,,,,,,,,,
Brosimum_alicastrum,Moraceae,Brosimum,alicastrum,640.725,4435.775,637.4818182,3927.318182,0.686945714,161.5,264.1666667,914,27.95382945,1.578,914
Brosimum_guianense,Moraceae,Brosimum,guianense,423.65,4236.15,,,,,,1,0,,
Calophyllum_longifolium,Clusiaceae,Calophyllum,longifolium,560.2,4263.9,890.1666667,4895.8,1.95011,341.6666667,429,1000,18.67707069,9.64,1000
Capparis_frondosa,Capparaceae,Capparis,frondosa,536.35,5233.9375,,,0.074614167,184.6666667,,3299,113.3293222,1.725,3299
Casearia_arborea,Salicaceae,Casearia,arborea,230.25,1481.216667,354.94,1634.74,0.00115,145.8333333,207.6666667,156,84.30391112,3.044,156
Casearia_aculeata,Salicaceae,Casearia,aculeata,411.7,1954.63,591.275,3742.375,0.002075,175.3703704,256.6666667,448,129.6973313,1.865,448
Casearia_guianensis,Salicaceae,Casearia,guianensis,446.54,2666.55,,,0.002908333,146.1111111,,19,500,0,19
Casearia_commersoniana,Salicaceae,Casearia,commersoniana,595.7416667,4775.166667,,,0.011821429,156.1805556,,21,99.33978695,,
Casearia_sylvestris,Salicaceae,Casearia,sylvestris,559.25,2804.45,582.775,3316.9875,,,,179,103.393294,2.018,179
Cassipourea_elliptica,Rhizophoraceae,Cassipourea,elliptica,440.8666667,3354.18,428.075,3057.775,0.007774405,229.2592593,276.6666667,989,105.659055,2.992,989
Cavanillesia_platanifolia,Malvaceae,Cavanillesia,platanifolia,264.775,1430.225,335.7909091,1766.154545,0.449668,204.4444444,273.4722222,21,56.51086644,0,21
Cecropia_insignis,Cecropiaceae,Cecropia,insignis,,,858.6333333,3367.433333,,,,378,70.21762207,9.176,378
Cecropia_longipes,Cecropiaceae,Cecropia,longipes,342.2,1374.95,499.1,2676.6,,,,,,,
Cecropia_obtusifolia,Cecropiaceae,Cecropia,obtusifolia,,,409.975,2621.55,0.00009,,220,50,230.5899228,12.772,50
Cedrela_odorata,Meliaceae,Cedrela,odorata,369.6,2374.6,,,0.00659,125.8333333,,6,40.11873405,0,6
Ceiba_pentandra,Malvaceae,Ceiba,pentandra,,,437.9666667,2876.722222,0.023525,,256.9444444,48,500,0,49
Celtis_schippii,Ulmaceae,Celtis,schippii,541.925,2801.025,671.3166667,3586.75,,,,134,500,1.964,134
Cespedesia_spathulata,Ochnaceae,Cespedesia,spathulata,,,,,,,,4,500,658.31,4
Cestrum_megalophyllum,Solanaceae,Cestrum,megalophyllum,350.8916667,2385.25,,,0.014222,253.5,,81,20.38465823,2.44,81
Chamaedorea_tepejilote,Arecaceae,Chamaedorea,tepejilote,,,,,0.341705263,,,12,59.61654484,23.002,12
Chamguava_schippii,Myrtaceae,Chamguava,schippii,464.6238095,3446.633333,555.9,4565.35,,,,325,40.1226064,33.719,325
Chimarrhis_parviflora,Rubiaceae,Chimarrhis,parviflora,309.05,4470,315.85,2636.85,,,,1,0,,
Chrysochlamys_eclipes,Clusiaceae,Chrysochlamys,eclipes,445.8833333,2711.983333,,,0.100268,310,,405,31.96682682,4.261,405
Chrysophyllum_argenteum,Sapotaceae,Chrysophyllum,argenteum,434.6142857,3159.007143,524.9,3523.7,0.127258333,213.5714286,306.1111111,707,37.86632329,1.701,708
Chrysophyllum_cainito,Sapotaceae,Chrysophyllum,cainito,302.5111111,2346.111111,519.9272727,4177.890909,0.129752083,222.5,307.2222222,129,179.9071139,3.135,128
Cinnamomum_triplinerve,Lauraceae,Cinnamomum,triplinerve,369.2,3590.083333,664.8333333,5192.766667,0.092213333,168.9583333,244.1666667,75,500,,
Clidemia_dentata,Melastomataceae,Clidemia,dentata,242.4666667,885.0333333,176.45,947.65,,,,6,10.93847139,127.32,5
Clidemia_octona,Melastomataceae,Clidemia,octona,262.1,1141.133333,358.9,968.7,,,,6,136.6919206,0,6
Clidemia_septuplinervia,Melastomataceae,Clidemia,septuplinervia,262,1266.6,,,,,,,,,
Coccoloba_manzinellensis,Polygonaceae,Coccoloba,manzinellensis,775.2166667,3125.772222,,,0.01882,253.8636364,,457,145.0606621,,
Coccoloba_coronata,Polygonaceae,Coccoloba,coronata,259.4153846,1947.707692,302.95,1793.75,0.06234,178.1481481,237.5,143,58.43599313,0.785,143
Cojoba_rufescens,Fabaceae:Mim,Cojoba,rufescens,505.0666667,3152.4,,,0.221473333,168.75,,2,120.2094264,,
Colubrina_glandulosa,Rhamnaceae,Colubrina,glandulosa,279.45,2869.3,,,,,,2,500,0,2
Conostegia_bracteata,Melastomataceae,Conostegia,bracteata,491.85,1474.575,,,,,,1,0,795.78,2
Conostegia_cinnamomea,Melastomataceae,Conostegia,cinnamomea,234.3666667,1190.616667,,,,,,155,36.00848334,9.116,155
Cordia_alliodora,Boraginaceae,Cordia,alliodora,157.5,1540.466667,342.3571429,2321.085714,0.005764,184.1666667,252.5,108,12.4946638,5.764,108
Cordia_bicolor,Boraginaceae,Cordia,bicolor,399.5166667,2344.4,611.7,3071.233333,0.016735294,182.7083333,274.5833333,965,114.5034949,3.754,965
Cordia_lasiocalyx,Boraginaceae,Cordia,lasiocalyx,424.3666667,2645.9,377.25,1816.4,0.044454167,176.9047619,205,1541,64.5561657,1.428,1541
Coussarea_curvigemmia,Rubiaceae,Coussarea,curvigemmia,207.3,2310.592857,,,0.081477273,193,,2039,74.13218846,4.722,2039
Coutarea_hexandra,Rubiaceae,Coutarea,hexandra,205,1539.35,211.9,1195.25,,,,1,0,,
Croton_billbergianus,Euphorbiaceae,Croton,billbergianus,225.9,1866.325,335.75,2633.4,,,,561,16.65494913,15.591,561
Cupania_latifolia,Sapindaceae,Cupania,latifolia,533.9125,3639.3,539.2,2530.033333,0.086303333,219.6875,247.7777778,42,26.65205094,3.341,44
Cupania_seemannii,Sapindaceae,Cupania,seemannii,534.4875,3774.35,,,0.120431333,183.8333333,,1174,24.78059329,,
Cupania_cinerea,Sapindaceae,Cupania,cinerea,505.47,2495.62,500.2,3367.4,0.265205,222.5,215,11,43.8894213,0,10
Cupania_rufescens,Sapindaceae,Cupania,rufescens,554.1461538,2762.261538,586.85,2699.5,0.142052381,228.9814815,237.5,109,54.63075964,12.489,109
Dendropanax_arboreus,Araliaceae,Dendropanax,arboreus,337.55,3467.33125,316.4,3509.725,0.006565556,249.4791667,263.3333333,15,500,3.159,115
Desmopsis_panamensis,Annonaceae,Desmopsis,panamensis,484.79375,3173.96875,,,0.107279167,221.25,,11761,84.50313279,1.267,11761
Diospyros_artanthifolia,Ebenaceae,Diospyros,artanthifolia,263.6428571,2754.935714,390.9,2393.5,,,,79,74.73060304,4.201,79
Dipteryx_oleifera,Fabaceae:Pap,Dipteryx,oleifera,304.25,3675,418.725,4202.808333,1.298906667,158.125,201.9444444,50,37.29138231,,
Elaeis_oleifera,Arecaceae,Elaeis,oleifera,,,,,0.593746667,,,21,31.85290268,57.743,21
Enterolobium_schomburgkii,Fabaceae:Mim,Enterolobium,schomburgkii,,,,,0.04415,,,14,500,0,13
Erythrina_costaricensis,Fabaceae:Pap,Erythrina,costaricensis,,,,,0.01503625,,,140,500,2.289,140
Erythroxylum_panamense,Erythroxylaceae,Erythroxylum,panamense,285.2588235,3181.982353,,,0.015756,153.0833333,,113,17.33646488,4.388,112
Erythroxylum_macrophyllum,Erythroxylaceae,Erythroxylum,macrophyllum,641.2454545,3578.136364,862.55,4614.65,,,,275,78.39088838,2.103,276
Eugenia_coloradoensis,Myrtaceae,Eugenia,coloradoensis,425.3058824,3289.147059,469.65,3087.95,0.375351667,246.2037037,260,776,34.07265362,,
Eugenia_galalonensis,Myrtaceae,Eugenia,galalonensis,378.4846154,2474.407692,239.0333333,3554.1,0.117772,184.5,197.5,1500,22.74424033,2.936,1500
Eugenia_nesiotica,Myrtaceae,Eugenia,nesiotica,571.1916667,2877.954545,,,0.34089,137.8787879,,531,65.72017156,2.183,532
Eugenia_oerstediana,Myrtaceae,Eugenia,oerstediana,552.4545455,4042.754545,537.1166667,4617.433333,0.063838,145.2083333,151.1111111,2214,77.83427251,2.495,2214
Faramea_occidentalis,Rubiaceae,Faramea,occidentalis,599.3818182,4154.436364,,,0.193216,165.3787879,,27137,179.3221888,1.394,27137
Ficus_popenoei,Moraceae,Ficus,popenoei,,,347.8,3984.575,,,,4,500,0,4
Ficus_obtusifolia,Moraceae,Ficus,obtusifolia,247.2,5806.1,557.0833333,5709.366667,0.000211111,256.6666667,322.7777778,8,500,0,8
Ficus_insipida,Moraceae,Ficus,insipida,407.7266667,4394.78,,,0.000695,205.462963,,9,500,0,9
Ficus_bullenei,Moraceae,Ficus,bullenei,,,,,,,,1,0,,
Ficus_costaricana,Moraceae,Ficus,costaricana,,,639.1444444,4102.933333,,,,8,500,0,8
Ficus_citrifolia,Moraceae,Ficus,citrifolia,,,,,,,,3,500,0,3
Ficus_maxima,Moraceae,Ficus,maxima,341.65,3286.85,606.8666667,5588.616667,,,,8,500,0,8
Ficus_tonduzii,Moraceae,Ficus,tonduzii,543.2857143,6627.264286,694.15,7282.15,,,,33,500,2.983,33
Ficus_trigonata,Moraceae,Ficus,trigonata,,,368.075,3460.25,0.000566667,,323.3333333,6,500,0,6
Ficus_yoponensis,Moraceae,Ficus,yoponensis,,,446.0875,6257.475,,,,6,132.6121902,0,6
Garcinia_intermedia,Clusiaceae,Garcinia,intermedia,522.09,4916.35,615.75,5690.45,0.541,273.5185185,316.6666667,4299,73.78091447,1.697,4299
Garcinia_madruno,Clusiaceae,Garcinia,madruno,748.35,6130.75,719.1,5788.8,3.576790972,284.75,307.5,372,27.03656739,2.883,372
Genipa_americana,Rubiaceae,Genipa,americana,285.3714286,1839.342857,329.0444444,2314.377778,0.088758333,163.8333333,246.5,74,63.26534015,0.596,74
Guapira_standleyana,Nyctaginaceae,Guapira,standleyana,233.67,1281.92,251.43,1810.21,0.061173333,235.6666667,231,184,43.95189066,,
Guarea_grandifolia,Meliaceae,Guarea,grandifolia,335.1666667,3001.366667,321.15,2904.316667,0.253420833,220,239.7916667,66,500,6.948,65
Guarea_guidonia,Meliaceae,Guarea,guidonia,332.8888889,2876.433333,418.6,3457.333333,0.069685833,220.8333333,250.8333333,1924,102.4009519,1.768,1924
Guarea_bullata,Meliaceae,Guarea,bullata,557.2625,3327.3625,506.7,2913.9,,,,1227,24.60073868,,
Guatteria_dumetorum,Annonaceae,Guatteria,dumetorum,459.08,2850.84,589.2875,2442.825,0.0395,167.7777778,221,1254,29.97123284,2.103,1254
Guazuma_ulmifolia,Malvaceae,Guazuma,ulmifolia,195.32,1730.86,263.6545455,2012.363636,0.001121951,134.5833333,171.3888889,49,57.72420652,7.971,49
Guettarda_foliacea,Rubiaceae,Guettarda,foliacea,335.30625,1932.975,,,,,,340,14.04369602,1.814,340
Gustavia_superba,Lecythidaceae,Gustavia,superba,1070.5,3009.52,437.4857143,3636.733333,5.071186,153.0555556,201.25,791,32.49876713,12.25,791
Hamelia_patens,Rubiaceae,Hamelia,patens,,,,,,,,2,0.042105098,,
Hamelia_axillaris,Rubiaceae,Hamelia,axillaris,213.4166667,1746.116667,,,0.004995,173.5416667,,116,88.37593394,10.016,117
Hampea_appendiculata,Malvaceae,Hampea,appendiculata,299.15,1585.15,299.925,1916.25,0.056475,229.5833333,300.2777778,23,176.6759901,0,23
Hasseltia_floribunda,Salicaceae,Hasseltia,floribunda,387.1,3242.075,368.65,3743.8,0.01123,195.462963,202.5,688,26.48834801,2.425,687
Heisteria_acuminata,Olacaceae,Heisteria,acuminata,540.41,5142.13,,,0.14824375,202.3484848,,108,37.57708023,3.967,107
Heisteria_concinna,Olacaceae,Heisteria,concinna,741.5,4420.31,794.55,2957.55,0.148132143,230.3125,240,974,53.70761274,1.686,974
Herrania_purpurea,Malvaceae,Herrania,purpurea,356.60625,2406.56875,,,0.184663,198.030303,,527,500,1.544,527
Hieronyma_alchorneoides,Euphorbiaceae,Hieronyma,alchorneoides,317.5285714,2523.95,314.4916667,2213.266667,0.00096,204.5,255.8333333,88,500,,
Hirtella_triandra,Chrysobalanaceae,Hirtella,triandra,825.5142857,2678.333333,632.75,3042.583333,0.176828,156.3541667,219.1666667,5044,26.90006536,1.7,5044
Hirtella_americana,Chrysobalanaceae,Hirtella,americana,459.6,2424.53,,,0.18957,242.5,,40,50.13310473,6.101,40
Hura_crepitans,Euphorbiaceae,Hura,crepitans,204.8,2148.3,243.4545455,3647.172727,0.212075,147.5,227.2222222,112,113.3065216,1.53,112
Hybanthus_prunifolius,Violaceae,Hybanthus,prunifolius,353.1,2867.483333,,,0.017001333,168.6666667,,36080,49.32886975,1.378,36080
Inga_marginata,Fabaceae:Mim,Inga,marginata,496.1,2861.68,653.2083333,3560.725,0.190256818,180.4166667,194.3055556,562,19.9108536,3.147,539
Inga_nobilis,Fabaceae:Mim,Inga,nobilis,513.4625,2769.6,615.85,3209.65,0.191613889,177.0952381,195,684,61.17264558,,
Inga_thibaudiana,Fabaceae:Mim,Inga,thibaudiana,496.3181818,3134.018182,494.0375,3518,0.16863125,240.2777778,275.2083333,,,,
Inga_cocleensis,Fabaceae:Mim,Inga,cocleensis,461.5333333,2727.788889,694.9,4823.6,,,,,,5.317,220
Inga_laurina,Fabaceae:Mim,Inga,laurina,620.88,4288.87,604.175,4038.15,,,,75,64.03617398,,
Inga_punctata,Fabaceae:Mim,Inga,punctata,577.0333333,2574.366667,574.75,3050.775,0.26239,184.7222222,198.3333333,16,500,0,21
Inga_umbellifera,Fabaceae:Mim,Inga,umbellifera,578.41875,5120.206667,,,0.294342333,157.3333333,,948,66.97229276,1.614,953
Inga_sapindoides,Fabaceae:Mim,Inga,sapindoides,414.25,3465.441667,608.3,3527.5,0.406354,166.7708333,170,290,54.9311519,1.121,293
Inga_goldmanii,Fabaceae:Mim,Inga,goldmanii,575.7888889,3228.933333,479.8,3153,0.990172,170,181.25,399,26.88082209,1.379,396
Inga_oerstediana,Fabaceae:Mim,Inga,oerstediana,,,497.35,3071.05,,,,8,33.82545718,,
Inga_pezizifera,Fabaceae:Mim,Inga,pezizifera,509.69375,3105.425,359.8,3254.7,,,,144,101.5225929,9.168,144
Inga_ruiziana,Fabaceae:Mim,Inga,ruiziana,,,,,0.230323,,,,,51.327,16
Inga_acuminata,Fabaceae:Mim,Inga,acuminata,488.1466667,3305.86,,,0.18605,138.2142857,,334,79.88531103,,
Inga_spectabilis,Fabaceae:Mim,Inga,spectabilis,475.04,3562.27,550.6666667,4516.883333,,,,20,500,0,19
Jacaranda_copaia,Bignoniaceae,Jacaranda,copaia,255.575,2664.75,130.3166667,3448.583333,0.001712626,123.6666667,236.1666667,277,59.26528327,4.528,277
Lacistema_aggregatum,Lacistemataceae,Lacistema,aggregatum,418.15,3151.2,421.75,3171.85,0.011052,228.3333333,236.6666667,1629,62.31049611,1.916,1630
Lacmellea_panamensis,Apocynaceae,Lacmellea,panamensis,215.9636364,1925.936364,211.925,2387.55,0.227050667,213.5714286,273.75,103,500,1.517,103
Laetia_thamnia,Salicaceae,Laetia,thamnia,422.2333333,2729.933333,,,0.009565909,197.0454545,,530,54.45802307,4.1,530
Laetia_procera,Salicaceae,Laetia,procera,421.7,3613.35,390.15,4116.0125,0.002011667,136.875,202,27,84.73895371,21.832,27
Lafoensia_punicifolia,Lythraceae,Lafoensia,punicifolia,326.775,4447.925,343.3,5398.45,,,,6,25.82457085,0,6
Leandra_dichotoma,Melastomataceae,Leandra,dichotoma,238.9,1437.95,,,,,,,,,
Licania_hypoleuca,Chrysobalanaceae,Licania,hypoleuca,515.565,4532.295,686.1666667,4143.6,0.0847,176.75,236.6666667,138,40.45944289,15.796,138
Licania_platypus,Chrysobalanaceae,Licania,platypus,631.61,5343.93,651.6,6065.95,4.50296,202.9166667,223.3333333,307,95.52890443,3.346,307
Lindackeria_laurina,Achariaceae,Lindackeria,laurina,553.1833333,4287.583333,588.55,3856.2,0.039144444,197.7083333,182.0833333,83,59.92933984,7.076,83
Lonchocarpus_heptaphyllus,Fabaceae:Pap,Lonchocarpus,heptaphyllus,290,2355.666667,478,4114.5,0.0470475,187.9166667,244.4444444,832,51.04708417,,
Lozania_pittieri,Lacistematac,Lozania,pittieri,440.2,3190.7,,,,,,4,6.945226904,216.63,4
Luehea_seemannii,Malvaceae,Luehea,seemannii,543.25,3527.633333,640.7142857,4406.942857,0.000871875,215.5555556,275,209,70.63279652,11.073,209
Macrocnemum_roseum,Rubiaceae,Macrocnemum,roseum,304.1181818,1858.790909,284.425,1930.55,,,,102,22.97080766,,
Malpighia_romeroana,Malpighiaceae,Malpighia,romeroana,606.8636364,1998.036364,,,,,,51,500,33.774,51
Maquira_guianensis,Moraceae,Maquira,guianensis,318.4111111,3653.6,,,0.203092,203.3333333,,1490,24.78526592,,
Margaritaria_nobilis,Euphorbiaceae,Margaritaria,nobilis,275.4,1904.35,381.75,1718.2,,,,4,500,0,4
Marila_laxiflora,Clusiaceae,Marila,laxiflora,603.0428571,3809.214286,,,0.012173333,140.2272727,,22,12.00950038,311.84,22
Maytenus_schippii,Celastraceae,Maytenus,schippii,448.1619048,3302.857143,,,,,,89,30.57634832,0,89
Miconia_affinis,Melastomataceae,Miconia,affinis,284.9611111,1131.472222,,,,,,393,142.2812449,9.912,393
Miconia_argentea,Melastomataceae,Miconia,argentea,248.2428571,1334.985714,333.9142857,1692.114286,,,,800,117.3817995,7.981,800
Miconia_dorsiloba,Melastomataceae,Miconia,dorsiloba,267.3,1001.65,,,,,,,,,
Miconia_elata,Melastomataceae,Miconia,elata,342.2333333,1530.827778,,,,,,21,108.6243497,14.436,21
Miconia_hondurensis,Melastomataceae,Miconia,hondurensis,240.6375,1541.46875,243.8,1465.7,,,,48,112.2104761,6.908,48
Miconia_impetiolaris,Melastomataceae,Miconia,impetiolaris,345.3142857,1320.057143,,,,,,13,500,60.043,13
Miconia_nervosa,Melastomataceae,Miconia,nervosa,255.5,1143.0375,,,,,,251,79.09908256,12.255,251
Miconia_prasina,Melastomataceae,Miconia,prasina,,,,,,,,2,0.042105098,0,2
Morinda_seibertii,Rubiaceae,Morinda,seibertii,261.675,1503.95,,,,,,4,0.964447084,,
Mosannona_garwoodii,Annonaceae,Mosannona,garwoodii,511.38125,3400.63125,,,0.217433333,173.030303,,405,52.533986,,
Mouriri_myrtilloides,Melastomataceae,Mouriri,myrtilloides,308.9,1825.842857,186.65,1669.2,0.044708,157.3333333,180,7135,174.9941979,1.501,7135
Myrcia_gatunensis,Myrtaceae,Myrcia,gatunensis,682.04,3368.146667,,,0.062646667,197.7272727,,50,32.67816271,10.403,50
Myrospermum_frutescens,Fabaceae:Pap,Myrospermum,frutescens,403.5,2795.133333,353.8714286,4041.071429,,,,17,15.53722354,11.349,17
Nectandra_purpurea,Lauraceae,Nectandra,purpurea,507.5571429,3500.085714,604.25,3609.55,0.5234,176.25,223.3333333,83,77.91548497,6.852,84
Nectandra_cissiflora,Lauraceae,Nectandra,cissiflora,657.1,3899.73,591.75,4218.15,0.1072,249.1666667,258.3333333,254,81.6273762,6.333,254
Nectandra_lineata,Lauraceae,Nectandra,lineata,458.4071429,2909.85,389.45,3642,,,,108,85.92534994,,
Neea_amplifolia,Nyctaginaceae,Neea,amplifolia,249.5222222,1853.222222,,,0.034027586,244.6666667,,63,42.17313769,5.686,63
Ochroma_pyramidale,Bombacaceae,Ochroma,pyramidale,,,356.8333333,1958.758333,0.002465,,270.2777778,6,73.52952968,88.419,6
Ocotea_cernua,Lauraceae,Ocotea,cernua,471.7777778,3731.166667,493.5666667,3611.266667,0.16704,186.875,200,293,46.28046653,2.037,293
Ocotea_puberula,Lauraceae,Ocotea,puberula,363.2666667,3132.744444,448.2545455,3718.141667,0.05464,150.3333333,201.9444444,173,106.0481808,2.45,174
Ocotea_oblonga,Lauraceae,Ocotea,oblonga,354.4833333,2176.816667,338.1333333,3059.677778,,,,169,18.84416586,3.286,169
Ocotea_whitei,Lauraceae,Ocotea,whitei,518.3,3293.725,454.4636364,3730.981818,,,,575,57.73114993,10.606,575
Oenocarpus_mapora,Arecaceae,Oenocarpus,mapora,,,,,1.322792,,,1847,89.0990535,,
Ormosia_macrocalyx,Fabaceae:Pap,Ormosia,macrocalyx,489.0285714,4758.642857,798.825,6746.1,0.284631667,195,227.5,11,500,2.305,112
Ormosia_amazonica,Fabaceae:Pap,Ormosia,amazonica,884.25,4121.7,,,0.29088,358.3333333,,2,500,0,2
Ormosia_coccinea,Fabaceae:Pap,Ormosia,coccinea,719.0444444,5288.288889,680.5666667,5244.733333,0.42562625,221.9791667,260.8333333,,,,
Ouratea_lucens,Ochnaceae,Ouratea,lucens,529.85,5412.566667,,,0.096616667,229.1666667,,1205,23.21580983,2.985,1205
Pachira_sessilis,Malvaceae,Pachira,sessilis,458.8444444,2891.6,392.2125,3320.375,0.199205,202,223.125,21,17.31201819,,
Pachira_quinata,Malvaceae,Pachira,quinata,284.6,4697.75,,,,,,1,0,,
Palicourea_guianensis,Rubiaceae,Palicourea,guianensis,234.5,2899.9,,,0.009110667,131.1111111,,1055,78.52628376,12.017,1055
Pentagonia_macrophylla,Rubiaceae,Pentagonia,macrophylla,483.2818182,3309.227273,,,0.004533333,306.4285714,,372,27.70076616,1.785,372
Perebea_xanthochyma,Moraceae,Perebea,xanthochyma,346.11875,3479.8875,525.95,3220.1,0.09481,180.6666667,269.1666667,260,90.04437724,,
Picramnia_latifolia,Simaroubaceae,Picramnia,latifolia,425.54,3940.6,,,0.063926667,162.7083333,,1114,80.25388183,1.876,1114
Piper_cordulatum,Piperaceae,Piper,cordulatum,359.3222222,2897.222222,,,0.00185,399.6666667,,394,72.62890486,3.661,394
Piper_arboreum,Piperaceae,Piper,arboreum,281.6,2414.7,,,,,,38,10.07305194,22.406,38
Piper_aequale,Piperaceae,Piper,aequale,365.925,2467.125,,,,,,52,27.09822184,23.431,52
Piper_colonense,Piperaceae,Piper,colonense,323.05,2003.775,,,,,,30,24.18562178,,
Piper_perlasense,Piperaceae,Piper,perlasense,352.4846154,2567.661538,,,,,,,,49.141,39
Piper_reticulatum,Piperaceae,Piper,reticulatum,395.9111111,2414.255556,593.25,4273.2,,,,132,500,2.989,132
Platymiscium_pinnatum,Fabaceae:Pap,Platymiscium,pinnatum,241.85,3503.375,396.7083333,3894.833333,0.13573,147.5,237.7380952,276,120.1834208,2.34,170
Platypodium_elegans,Fabaceae:Pap,Platypodium,elegans,318.7125,2776.4625,588.4222222,5533.466667,0.302887879,139.375,209.7222222,138,37.62421823,4.528,141
Posoqueria_latifolia,Rubiaceae,Posoqueria,latifolia,305.61,2510.45,443.55,2588.35,0.1725925,265.2083333,372.75,79,45.7217419,5.149,79
Poulsenia_armata,Moraceae,Poulsenia,armata,412.1888889,2788.322222,582.1818182,3364.845455,0.042670833,216.5,273.75,1777,41.91563482,3.484,1777
Pourouma_bicolor,Urticaceae,Pourouma,bicolor,431.02,2635.76,876.6666667,2932,0.11381,283.8888889,338.3333333,49,71.12361897,13.848,49
Pouteria_reticulata,Sapotaceae,Pouteria,reticulata,351.4375,2647.65,504.1454545,3520.963636,0.457944,153.0555556,201.6666667,,,1.21,1626
Pouteria_stipitata,Sapotaceae,Pouteria,stipitata,450.7166667,2814.083333,485.29,3031.24,0.790759804,121,158.6666667,69,128.0527971,1.35,69
Pouteria_fossicola,Sapotaceae,Pouteria,fossicola,303.275,3191.775,404.65,2596.55,24.69871765,201.6666667,208.3333333,3,0.042105098,0,3
